series,type,source_shield,HV,trigger,duration_min,on_nsdf,n_dumps,first_dump,last_dump,missing_dumps,size_gib,live_check,hidden_by_filter,local_dumps,local_empty_stubs
07220929_1628,Side2,"Am / Pb&poly, lead stack, borax",,,,False,0,,,,,absent (F0001-F0005),False,0,0
07220929_1629,Side2,"Am / Pb&poly, lead stack, borax",-83.4,DCRC1pA 2,1026,False,0,,,,,absent (F0001-F0005),False,0,0
07221001_2314,Side2,"PuBe / Pb&poly, lead stack, borax",-82.5,DCRC1pA 2,3122,True,3122,1,3122,0,248.87,listed dumps found; none beyond,False,0,0
07221017_1600,Side2,"PuBe / Pb&poly, lead stack, borax",-82.5,DCRC1pA 2,,True,529,1,529,0,41.77,listed dumps found; none beyond,False,0,0
07221019_1741,Side2,"PuBe / Pb&poly, lead stack, borax",-82.6,DCRC1pB 10,46,True,46,1,46,0,3.66,listed dumps found; none beyond,False,0,0
07221019_1832,Side2,"PuBe / Pb&poly, lead stack, borax",-82.6,NaI,202,True,202,1,202,0,6.04,listed dumps found; none beyond,False,0,0
07221019_2157,Side2,"PuBe / Pb&poly, lead stack, borax",-82.4,DCRC1pB 10,42,True,42,1,42,0,3.45,listed dumps found; none beyond,False,0,0
07221019_2240,Side2,"PuBe / Pb&poly, lead stack, borax",-82.5,NaI,533,True,533,1,533,0,15.92,listed dumps found; none beyond,False,0,0
07221020_0849,Side2,"PuBe / Pb&poly, lead stack, borax",-82.4,DCRC1pB 10,63,True,62,1,62,0,4.96,listed dumps found; none beyond,False,0,0
07221020_0954,Side2,"PuBe / Pb&poly, lead stack, borax",-82.4,NaI,524,True,524,1,524,0,15.75,listed dumps found; none beyond,False,0,0
07221020_1846,Side2,"PuBe / Pb&poly, lead stack, borax",-82.4,DCRC1pB 10,43,True,43,1,43,0,2.63,listed dumps found; none beyond,False,0,0
07221020_1948,Side2,"PuBe / Pb&poly, lead stack, borax",-82.5,NaI,841,True,841,1,841,0,17.68,listed dumps found; none beyond,False,0,0
07221021_1001,Side2,"PuBe / Pb&poly, lead stack, borax",-82.3,DCRC1pB 10,84,True,84,1,84,0,4.95,listed dumps found; none beyond,False,0,0
07221021_1126,Side2,"PuBe / Pb&poly, lead stack, borax",-82.4,NaI,368,True,368,1,368,0,7.68,listed dumps found; none beyond,False,0,0
07221022_1630,Side2,"Am / Pb&poly, lead stack, borax",-82.3,DCRC1pA 2,859,False,0,,,,,absent (F0001-F0005),False,0,4
07221023_1051,Side2,"Am / Pb&poly, lead stack, borax",-82.1,DCRC1pA 2,1735,False,0,,,,,absent (F0001-F0005),False,0,0
07221025_1751,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,DCRC1pB 10,,True,119,1,119,0,8.63,listed dumps found; none beyond,False,0,0
07221025_1956,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,NaI,621,True,621,1,621,0,18.99,listed dumps found; none beyond,False,0,0
07221026_0951,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,DCRC1pB 10,57,True,57,1,57,0,4.56,listed dumps found; none beyond,False,0,0
07221026_1049,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,NaI,646,True,646,1,646,0,19.67,listed dumps found; none beyond,False,0,0
07221026_2145,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,DCRC1pB 10,39,True,39,1,39,0,3.07,listed dumps found; none beyond,False,0,0
07221026_2224,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,NaI,640,True,640,1,640,0,19.58,listed dumps found; none beyond,False,0,0
07221027_0915,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,DCRC1pB 10,44,True,44,1,44,0,3.49,listed dumps found; none beyond,False,0,0
07221027_0959,Side2,"PuBe / Pb&poly, lead stack, borax",-82.1,NaI,366,True,361,1,361,0,10.96,listed dumps found; none beyond,False,0,0
07221102_1555,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC1pB 10,190,True,190,1,190,0,12.11,listed dumps found; none beyond,False,0,0
07221102_2132,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC1pB 10,,True,764,1,764,0,48.87,listed dumps found; none beyond,False,0,0
07221106_2320,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC1pB 10,,True,802,2,803,0,50.26,listed dumps found; none beyond,False,0,0
07221108_1305,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
07221108_1410,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
07221108_1459,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
07221110_0946,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
07221110_1159,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
07221111_1556,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
07221111_1619,,,,,,False,0,,,,,absent (F0001-F0005),False,0,0
